"id_pd","nombre_pd","direccion","nombre_institucional","id_provincia","id_departamento","id_localidad","id_municipio","provincia","departamento","localidad","municipio","mail_institucional","latitud","longitud","horarios","link_facebook","estado"
"58","Luján","Rodolfo Romero 650","Casa de la Juventud","AR-B","1270","1366","BUE075","Buenos Aires","Lujan","Lujan","Luján","lujan@puntodigital.gob.ar","-34.567939","-59.132041","Lunes 08:00 a 21:00 , Martes 08:00 a 21:00 , Miércoles 08:00 a 21:00 , Jueves 08:00 a 21:00 , Viernes 08:00 a 21:00 ","","Activo"
"59","Mar del Plata","Coronel Vidal 2665","CIC","AR-B","1247","981","BUE053","Buenos Aires","General Pueyrredon","Mar del Plata","General Pueyrredón","mdqelmartillo@puntodigital.gob.ar","-38.030691","-57.597232","Lunes 08:00 a 19:00 , Martes 08:00 a 19:00 , Miércoles 08:00 a 19:00 , Jueves 08:00 a 19:00 , Viernes 08:00 a 19:00 ","","Activo"
"60","Marcos Paz CIC","Eva Duarte","Centro Integral Comunitario","AR-B","1275","1449","BUE080","Buenos Aires","Marcos Paz","Marcos Paz","Marcos Paz","marcospaz1@puntodigital.gob.ar","-34.760222","-58.81865","Lunes 07:00 a 13:00 , Martes 07:00 a 13:00 , Miércoles 07:00 a 13:00 , Jueves 07:00 a 13:00 , Viernes 07:00 a 13:00 , Sábado 07:00 a 13:00 ","https://www.facebook.com/PuntoDigitalMarcosPaz","Activo"
"61","Marcos Paz UMI","Colectora Juan Domingo Perón","Unidad Municipal Integrada","AR-B","1275","1449","BUE080","Buenos Aires","Marcos Paz","Marcos Paz","Marcos Paz","marcospaz2@puntodigital.gob.ar","-34.744365","-58.806153","Lunes 07:00 a 13:00 , Martes 07:00 a 13:00 , Miércoles 07:00 a 13:00 , Jueves 07:00 a 13:00 , Viernes 07:00 a 13:00 , Sábado 07:00 a 13:00 ","https://www.facebook.com/PuntoDigitalMarcosPaz","Activo"
"62","Miramar","Calle 110","CIC","AR-B","1236","814","BUE042","Buenos Aires","General Alvarado","Miramar","General Alvarado","miramar@puntodigital.gob.ar","-38.238821","-57.870738","Martes 09:00 a 20:00 , Miércoles 09:00 a 20:00 , Jueves 09:00 a 20:00 , Viernes 09:00 a 20:00 , Lunes 08:00 a 19:30 ","","Activo"
"63","Pigüé","Ciudad de Rodez","Edificio municipal","AR-B","1302","1930","BUE107","Buenos Aires","Saavedra","Pigue","Saavedra","pigue@puntodigital.gob.ar","-37.604683","-62.406994","Lunes 09:00 a 12:00 - 16:00 a 21:00 , Martes 09:00 a 12:00 - 16:00 a 21:00 , Miércoles 09:00 a 12:00 - 16:00 a 21:00 , Jueves 09:00 a 12:00 - 16:00 a 21:00 , Viernes 09:00 a 12:00 - 16:00 a 21:00 ","https://www.facebook.com/Punto-Digital-Pigüé-507868515986947","Activo"
"64","Quilmes","Calle 892","Centro Integral Comunitario","AR-B","1296","1806","BUE101","Buenos Aires","Quilmes","Quilmes","Quilmes","lapazquilmes@puntodigital.gob.ar","-34.748193","-58.32957","Lunes 08:00 a 19:00 , Martes 08:00 a 19:00 , Miércoles 08:00 a 19:00 , Jueves 08:00 a 19:00 , Viernes 08:00 a 19:00 ","https://www.facebook.com/PDQuilmes/?hc_ref=SEARCH&fref=nf","Activo"
"65","Tres de Febrero","-","Tres de Febrero","AR-B","1323","2271","BUE128","Buenos Aires","Tres de Febrero","Loma Hermosa","Tres de Febrero","caseros@puntodigital.gob.ar","-34.609958","-58.564999","","","Próximamente"
"66","Urdampilleta","Avenida Rivadavia","Estación Terminal de Ómnibus de la Localidad de Urdampilleta","AR-B","1209","364","BUE015","Buenos Aires","Bolivar","Urdampilleta","Bolívar","urdampilletabolivar@puntodigital.gob.ar","-36.429901","-61.422737","Lunes 08:30 a 12:30 - 16:30 a 20:30 , Martes 08:30 a 12:30 - 16:30 a 20:30 , Miércoles 08:30 a 12:30 - 16:30 a 20:30 , Jueves 08:30 a 12:30 - 16:30 a 20:30 , Viernes 08:30 a 12:30 - 16:30 a 20:30 ","https://www.facebook.com/Punto-Digital-Urdampilleta-1356195624448375/","Activo"
"67","Villa Gesell","Paseo 115","Edificio municipal","AR-B","1327","2335","BUE132","Buenos Aires","Villa Gesell","Villa Gesell","Villa Gesell","villagesell@puntodigital.gob.ar","-37.260973","-56.993298","Lunes 09:00 a 20:00 , Martes 09:00 a 20:00 , Miércoles 09:00 a 20:00 , Jueves 09:00 a 20:00 , Viernes 09:00 a 20:00 , Sábado 09:00 a 20:00 ","https://www.facebook.com/Punto-Digital-Villa-Gesell-NAC-1592779114326043/?fref=ts","Activo"
"68","San Antonio de Areco","Alsina 66","Museo","AR-B","1307","2008","BUE112","Buenos Aires","San Antonio de Areco","San Antonio de Areco","San Antonio de Areco","areco@puntodigital.gob.ar","-34.242248","-59.475228","","","Activo"
"69","Gral. Madariaga","Calle 4","CIC","AR-B","1241","887","BUE047","Buenos Aires","General Juan Madariaga","General Juan Madariaga","General Juan Madariaga","madariaga@puntodigital.gob.ar","-36.997729","-57.126238","Lunes 08:30 a 22:00 , Martes 08:30 a 22:00 , Miércoles 08:30 a 22:00 , Jueves 08:30 a 22:00 , Viernes 08:30 a 22:00 ","https://www.facebook.com/nacmadariaga/?fref=ts","Activo"
"70","Azul","San Martin 612","Edificio municipal","AR-B","1202","204","BUE007","Buenos Aires","Azul","Azul","Azul","azul@puntodigital.gob.ar","-36.782008","-59.867986","","https://www.facebook.com/Punto-Digital-Azul-1839556029394531/","Activo"
"71","Tandil","Nigro 1620","Centro de Capacitación Cultura y Deportes-Sede Villa Aguirre UNICEN - Bs.As.","AR-B","1316","2139","BUE121","Buenos Aires","Tandil","Tandil","Tandil","tandil@puntodigital.gob.ar","-37.29975","-59.124413","Lunes 09:00 a 20:00 , Martes 09:00 a 20:00 , Miércoles 09:00 a 20:00 , Jueves 09:00 a 20:00 , Viernes 09:00 a 20:00 ","","Activo"
"72","Lobería","Albarellos","CIC","AR-B","1267","1323","BUE072","Buenos Aires","Loberia","Loberia","Lobería","loberia@puntodigital.gob.ar","-38.156633","-58.787584","Lunes 08:00 a 12:00 - 15:00 a 19:00 , Martes 08:00 a 12:00 - 15:00 a 19:00 , Miércoles 08:00 a 12:00 - 15:00 a 19:00 , Jueves 08:00 a 12:00 - 15:00 a 19:00 , Viernes 08:00 a 12:00 - 15:00 a 19:00 ","https://www.facebook.com/profile.php?id=100009654451136&fref=ts","Activo"
"73","San Fernando","Hipólito Yrigoyen 1642","Partido Justicialista de San Fernando","AR-B","1309","2036","BUE114","Buenos Aires","San Fernando","San Fernando","San Fernando","sanfernando@puntodigital.gob.ar","-34.445288","-58.558394","Lunes 09:00 a 13:00 - 16:00 a 20:00 , Martes 09:00 a 13:00 - 16:00 a 20:00 , Miércoles 09:00 a 13:00 - 16:00 a 20:00 , Jueves 09:00 a 13:00 - 16:00 a 20:00 , Viernes 09:00 a 13:00 - 16:00 a 20:00 ","","Activo"
"74","Castelar","William Morris 3524","UGC 5","AR-B","1281","1497","BUE086","Buenos Aires","Moron","Moron","Morón","castelar@puntodigital.gob.ar","-34.683557","-58.660551","Lunes 09:00 a 13:00 - 16:00 a 20:00 , Martes 09:00 a 13:00 - 16:00 a 20:00 , Miércoles 09:00 a 13:00 - 16:00 a 20:00 , Jueves 09:00 a 13:00 - 16:00 a 20:00 , Viernes 09:00 a 13:00 - 16:00 a 20:00 ","https://www.facebook.com/PUNTODIGITAL.Castelar.sur.Moron/?fref=ts","Activo"
"75","Lima","Avenida 111 943","Unidad Integral de Educación Técnico Profesional de Lima ","AR-B","1329","2389","BUE134","Buenos Aires","Zarate","Zarate","Zárate","centrozarate@puntodigital.gob.ar","-34.034891","-59.192548","Lunes 08:00 a 20:00 , Martes 08:00 a 20:00 , Miércoles 08:00 a 20:00 , Jueves 08:00 a 20:00 , Viernes 08:00 a 20:00 ","","Activo"
"78","Lima Centro Cultural","Calle 7","Centro Cultural Lima","AR-B","1329","2388","BUE134","Buenos Aires","Zarate","Lima","Zárate","lima2@puntodigital.gob.ar","-34.046926","-59.193701","Lunes 08:00 a 18:00 , Martes 08:00 a 18:00 , Miércoles 08:00 a 18:00 , Jueves 08:00 a 18:00 , Viernes 08:00 a 18:00 , Domingo 14:00 a 18:00 ","https://www.facebook.com/Punto-Digital-Lima-Centro-Cultural-450314608663968/","Activo"
"79","San Andrés de Giles","Lucas Scully 917","Casa del Bicentenario San Andrés de Giles","AR-B","1306","1996","BUE111","Buenos Aires","San Andres de Giles","San Andres de Giles","San Andrés de Giles","sanandresdegiles@puntodigital.gob.ar","-34.440335","-59.441159","Lunes 09:00 a 21:00 , Martes 09:00 a 21:00 , Miércoles 09:00 a 21:00 , Jueves 09:00 a 21:00 , Viernes 09:00 a 21:00 ","","Activo"
"80","Ezeiza","Avellaneda 51","Teatro Municipal","AR-B","1233","777","BUE039","Buenos Aires","Ezeiza","Jose Maria Ezeiza","Ezeiza","ezeiza@puntodigital.gob.ar","-34.440335","-59.441159","","","Activo"
"81","La Plata","Diagonal 80 340","Instituto Malvinas (Facultad de Ingeniería-UNLP)","AR-B","1260","1189","BUE066","Buenos Aires","La Plata","La Plata","La Plata","laplata@puntodigital.gob.ar","-34.899972","-57.949375","Lunes 08:30 a 19:30 , Martes 08:30 a 19:30 , Miércoles 08:30 a 19:30 , Jueves 08:30 a 19:30 , Viernes 08:30 a 19:30 ","","Activo"
"82","Mar del Plata - Inareps","Ruta 88 KM 1,5","Instituto Nacional de Rehabilitación Psicofísica del Sur  Dr. Juan Otimio Tesone ","AR-B","1247","981","BUE053","Buenos Aires","General Pueyrredon","Mar del Plata","General Pueyrredón","inareps@puntodigital.gob.ar","-34.907862","-57.97273","Lunes 08:00 a 18:00 , Martes 08:00 a 18:00 , Miércoles 08:00 a 18:00 , Jueves 08:00 a 18:00 , Viernes 08:00 a 18:00 ","","Activo"
"83","Punta Indio","Calle 26","Casa del Niño","AR-B","1295","1799","BUE100","Buenos Aires","Punta Indio","Punta Indio","Punta Indio","puntaindio@puntodigital.gob.ar","-35.400266","-57.327604","","","Activo"
"84","Palomar","General Juan Pedernera 280","UGC 3","AR-B","1281","1495","BUE086","Buenos Aires","Moron","El Palomar","Morón","palomar@puntodigital.gob.ar","-34.606423","-58.596689","Miércoles 09:00 a 17:00 , Jueves 09:00 a 17:00 , Viernes 09:00 a 17:00 , Lunes 08:30 a 16:00 , Martes 08:30 a 16:00 ","","Activo"
"85","Balcarce","Avenida Eva Perón 3949","Centro Cultural Salamone","AR-B","1204","257","BUE009","Buenos Aires","Balcarce","Balcarce","Balcarce","balcarce@puntodigital.gob.ar","-37.832936","-58.272814","","https://www.facebook.com/PDBalcarce","Activo"
"86","Tres Lomas","Saavedra","CIC","AR-B","1324","2288","BUE129","Buenos Aires","Tres Lomas","Tres Lomas","Tres Lomas","treslomas@puntodigital.gob.ar","-36.455583","-62.853385","Lunes 08:00 a 22:00 , Martes 08:00 a 22:00 , Miércoles 08:00 a 22:00 , Jueves 08:00 a 22:00 , Viernes 08:00 a 22:00 ","https://www.facebook.com/nactreslomas/","Activo"
"87","Tornquist","Avenida E. Tornquist 355","Biblioteca popular Tornquist","AR-B","1320","2201","BUE125","Buenos Aires","Tornquist","Tornquist","Tornquist","tornquist@puntodigital.gob.ar","-38.10158","-62.225471","","","Activo"
"88","Pehuajó","Dean Funes 194","Edificio municipal","AR-B","1287","1679","BUE092","Buenos Aires","Pehuajo","Pehuajo","Pehuajó","pehuajo@puntodigital.gob.ar","-35.800834","-61.897053","","","Activo"
"91","Valeria del Mar","Sebastian El Cano 2698","CIC","AR-B","1292","1762","BUE097","Buenos Aires","Pinamar","Valeria del Mar","Pinamar","valeriadelmar@puntodigital.gob.ar","-37.136657","-56.909694","","","Activo"
"92","La Plata JUS","Calle 13 129","Punto DIgital","AR-B","1260","1189","BUE066","Buenos Aires","La Plata","La Plata","La Plata","laplatajus@puntodigital.gob.ar","-34.907862","-57.97273","","https://www.facebook.com/Punto-Digital-La-Plata-Justicia-917175938360684/?notif_t=page_name_change&notif_id=1497375953174205","Activo"
"94","La Plata CIE","Calle 122 s/n","Punto DIgital","AR-B","1260","1189","BUE066","Buenos Aires","La Plata","La Plata","La Plata","","-34.897344","-57.940385","","","Activo"
"96","Floresta","Ramón Falcón 4250","Espacio para la memoria y la promoción de los Derechos Humanos ","AR-C","1711","25","CAB000","Ciudad Autónoma de Buenos Aires","Comuna 10","Floresta","Ciudad Autónoma de Buenos Aires","exolimpo@puntodigital.gob.ar","-34.636555","-58.486858","Lunes 09:00 a 17:00 , Martes 09:00 a 17:00 , Miércoles 09:00 a 17:00 , Jueves 09:00 a 17:00 , Viernes 09:00 a 17:00 ","https://www.facebook.com/nac.exolimpo/","Activo"
"97","Villa 21","Avenida Iriarte 3500","Casa Central de la Cultura Popular","AR-C","1705","10","CAB000","Ciudad Autónoma de Buenos Aires","Comuna 4","Barracas","Ciudad Autónoma de Buenos Aires","barracas@puntodigital.gob.ar","-34.651658","-58.397334","","","Activo"
"98","Hospital Garrahan","Combate de los Pozos 1881","Hospital Garrahan","AR-C","1705","13","CAB000","Ciudad Autónoma de Buenos Aires","Comuna 4","Parque Patricios","Ciudad Autónoma de Buenos Aires","garrahan@puntodigital.gob.ar","-34.630696","-58.392664","Lunes 08:00 a 18:00 , Martes 08:00 a 18:00 , Miércoles 08:00 a 18:00 , Jueves 08:00 a 18:00 , Viernes 08:00 a 18:00 ","","Activo"
"99","Ex ESMA","Avenida del Libertador 8151","Espacio para la memoria y la promoción de los Derechos Humanos ","AR-C","1714","41","CAB000","Ciudad Autónoma de Buenos Aires","Comuna 13","Nuñez","Ciudad Autónoma de Buenos Aires","casadelamilitancia@puntodigital.gob.ar","-34.540283","-58.46409","Lunes 10:00 a 17:00 , Martes 10:00 a 17:00 , Miércoles 10:00 a 17:00 , Jueves 10:00 a 17:00 , Viernes 10:00 a 17:00 ","https://www.facebook.com/pdcasadelamilitancia/","Activo"
"101","Constitución","Pedro Echagüe 1265","CTEP","AR-C","1702","1","CAB000","Ciudad Autónoma de Buenos Aires","Comuna 1","Constitucion","Ciudad Autónoma de Buenos Aires","constitucioncaba@puntodigital.gob.ar","-34.629774","-58.383584","Lunes 08:00 a 20:00 , Martes 08:00 a 20:00 , Miércoles 08:00 a 20:00 , Jueves 08:00 a 20:00 , Viernes 08:00 a 20:00 ","","Activo"
"102","Jabad Acción Social","Tucumán 3238","Fundación Jabad","AR-C","1704","8","CAB000","Ciudad Autónoma de Buenos Aires","Comuna 3","Balvanera","Ciudad Autónoma de Buenos Aires","jas@puntodigital.gob.ar","-34.600497","-58.411422","Lunes 09:00 a 15:00 , Martes 09:00 a 15:00 , Miércoles 09:00 a 15:00 , Jueves 09:00 a 15:00 , Viernes 09:00 a 15:00 ","","Temporalmente cerrado"
"103","Acción Católica Argentina","Avenida de Mayo 621","Sede Acción Católica Argentina","AR-C","1702","2","CAB000","Ciudad Autónoma de Buenos Aires","Comuna 1","Monserrat","Ciudad Autónoma de Buenos Aires","accioncatolica@puntodigital.gob.ar","-34.608613","-58.375255","Lunes 12:00 a 18:00 , Martes 12:00 a 18:00 , Miércoles 12:00 a 18:00 , Jueves 12:00 a 18:00 , Viernes 12:00 a 18:00 ","https://www.facebook.com/PuntoDigitalACA","Activo"
"106","Villa Devoto","Avenida Chivilcoy 3301","Casa Nacional del Futuro","AR-C","1712","32","CAB000","Ciudad Autónoma de Buenos Aires","Comuna 11","Villa Devoto","Ciudad Autónoma de Buenos Aires","devoto@puntodigital.gob.ar","-34.6036531","-58.5086876","Lunes 09:00 a 20:00 , Martes 09:00 a 20:00 , Miércoles 09:00 a 20:00 , Jueves 09:00 a 20:00 , Viernes 09:00 a 20:00 ","","Activo"
"107","Esquel","Pasaje Tecka ","Sede Vecinal del Barrio Don Bosco","AR-U","1371","5765","CHU018","Chubut","Futaleufu","Esquel","Esquel","esquel@puntodigital.gob.ar","-42.907988","-71.326257","Lunes 07:00 a 20:00 , Martes 07:00 a 20:00 , Miércoles 07:00 a 20:00 , Jueves 07:00 a 20:00 , Viernes 07:00 a 20:00 ","https://www.facebook.com/nac.esquel","Activo"
"108","Los Altares","Belencito ","Centro Comunitario","AR-U","1379","5805","CHU030","Chubut","Paso de Indios","Los Altares","Los Altares","losaltares@puntodigital.gob.ar","-43.88537","-68.412509","Lunes 08:30 a 14:30 , Martes 08:30 a 14:30 , Miércoles 08:30 a 14:30 , Jueves 08:30 a 14:30 , Viernes 08:30 a 14:30 ","https://www.facebook.com/PDLosAltares/","Activo"
"109","Rawson Chubut","Ernesto Echave 607","Municipalidad","AR-U","1381","5812","CHU036","Chubut","Rawson","Rawson","Rawson","rawsonchubut@puntodigital.gob.ar","-43.2934317","-65.0828048","Lunes 14:00 a 22:00 - 08:00 a 13:00 , Martes 14:00 a 22:00 - 08:00 a 13:00 , Miércoles 14:00 a 22:00 - 08:00 a 13:00 , Jueves 14:00 a 22:00 - 08:00 a 13:00 , Viernes 14:00 a 22:00 - 08:00 a 13:00 ","https://www.facebook.com/Punto-Digital-Rawson-Chubut-1429954877217632","Activo"
"110","Río Mayo","Hipólito Irigoyen 552","Biblioteca popular","AR-U","1367","5825","CHU037","Chubut","Rio Senguer","Rio Mayo","Río Mayo","riomayo@puntodigital.gob.ar","-45.692086","-70.262375","Lunes 09:00 a 13:00 - 15:00 a 18:00 , Martes 09:00 a 13:00 - 15:00 a 18:00 , Miércoles 09:00 a 13:00 - 15:00 a 18:00 , Jueves 09:00 a 13:00 - 15:00 a 18:00 , Viernes 09:00 a 13:00 - 15:00 a 18:00 ","https://www.facebook.com/nacmicrocinenacriomayo/?fref=ts","Activo"
"111","El Hoyo","Los guindos","Casa de la Cultura ","AR-U","1372","5715","CHU015","Chubut","Cushamen","El Hoyo","El Hoyo","elhoyo@puntodigital.gob.ar","-42.063402","-71.519397","Lunes 08:00 a 12:00 - 17:00 a 21:00 , Martes 08:00 a 12:00 - 17:00 a 21:00 , Miércoles 08:00 a 12:00 - 17:00 a 21:00 , Jueves 08:00 a 12:00 - 17:00 a 21:00 , Viernes 08:00 a 12:00 - 17:00 a 21:00 ","https://www.facebook.com/Punto-Digital-El-Hoyo-1444151862563286/?fref=ts","Activo"
"113","Trevelin","Rio Futaleufu 1897","CIM centro integral de la mujer","AR-U","1371","5768","CHU043","Chubut","Futaleufu","Trevelin","Trevelin","trevelin@puntodigital.gob.ar","-43.101628","-71.469948","Lunes 07:00 a 13:00 - 14:00 a 20:00 , Martes 07:00 a 13:00 - 14:00 a 20:00 , Miércoles 07:00 a 13:00 - 14:00 a 20:00 , Jueves 07:00 a 13:00 - 14:00 a 20:00 , Viernes 07:00 a 13:00 - 14:00 a 20:00 ","https://www.facebook.com/Punto-Digital-Trevelin-ex-NAC-154191594924843","Activo"
"115","Gaiman","Chubut 504","Municipalidad de Gaiman","AR-U","1374","5775","CHU020","Chubut","Gaiman","Gaiman","Gaiman","gaiman@puntodigital.gob.ar","-43.299725","-65.502537","Lunes 08:00 a 13:00 - 15:30 a 18:30 , Martes 08:00 a 13:00 - 15:30 a 18:30 , Miércoles 08:00 a 13:00 - 15:30 a 18:30 , Jueves 08:00 a 13:00 - 15:30 a 18:30 , Viernes 08:00 a 13:00 - 15:30 a 18:30 ","https://www.facebook.com/puntodigitalgaiman/?fref=ts","Activo"
"116","Gan Gan","San Martin","Salon Comunal","AR-U","1375","5843","CHU021","Chubut","Telsen","Gan Gan","Gan Gan","gangan@puntodigital.gob.ar","-42.52189","-68.285673","","","Temporalmente cerrado"
"117","Castelli","Avenida San Martin 650","Municipalidad","AR-H","1358","5181","CHA029","Chaco","General Güemes","Guemes","Juan José Castelli","castelli@puntodigital.gob.ar","-25.9462471","-60.6172981","","https://www.facebook.com/PDCastelli/?notif_t=page_name_change&notif_id=1496848955317305","Activo"
"118","Corzuela","Avenida Belgrano 50","Municipalidad","AR-H","1356","5097","CHA016","Chaco","General Belgrano","Corzuela","Corzuela","corzuela@puntodigital.gob.ar","-26.950716","-60.9691048","Lunes 10:00 a 12:00 - 17:00 a 19:00 , Martes 10:00 a 12:00 - 17:00 a 19:00 , Miércoles 10:00 a 12:00 - 17:00 a 19:00 , Jueves 10:00 a 12:00 - 17:00 a 19:00 , Viernes 10:00 a 12:00 - 17:00 a 19:00 ","","Activo"
