"denuncia_numero","hecho_fecha_hora","hecho_provincia","hecho_municipio","hecho_localidad","hecho_discriminacion","hecho_irregularidades","hecho_lugar","hecho_cometido_por","hecho_tipo_violencia","hecho_accion_realizada","denuncia_estado","denuncia_fecha_cambio_estado","denuncia_via_ingreso","denuncia_fecha_hora_carga","hecho_provincia_indec_id"
23,"2011-02-09 22:30:00","Ciudad Autónoma de Buenos Aires","Barrio San Nicolás","","Por aspecto físico - Por indumentaria","El personal de control no esta identificado","En el acceso local","Controladores","","","Derivado","2011-02-11 17:08:08.837","Call Center","2011-02-11 16:54:05.170","02"
25,"2010-10-04 18:30:00","Ciudad Autónoma de Buenos Aires","Barrio Almagro","","","","En el interior del local","Controladores","Agresión verbal - Agresión física","Se hizo denuncia policial","Desestimado","2011-02-15 11:03:34.483","Call Center","2011-02-15 10:57:07.483","02"
27,"2010-10-04 18:30:00","Ciudad Autónoma de Buenos Aires","Barrio Almagro","","","","En el interior del local","Controladores","Agresión verbal - Agresión física","Se hizo denuncia policial","Desestimado","2011-02-21 10:20:12.320","Call Center","2011-02-15 11:12:41.130","02"
29,"2011-02-19 02:30:00","Buenos Aires","La Plata","La Plata","","No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el interior del local","Personal de empresas de seguridad","Agresión física","Se solicitó asistencia policial","Derivado","2011-02-21 10:02:35.263","Página web de RENCAP ","2011-02-19 18:04:20.750","06"
30,"2010-08-14 04:00:00","Buenos Aires","La Plata","La Plata","","","En el acceso local","Controladores","Agresión física","","Derivado","2011-02-21 11:31:05.123","Call Center","2011-02-21 11:26:32.797","06"
31,"2010-11-28 06:00:00","Buenos Aires","Quilmes","Quilmes","","","En las proximidades del local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2011-02-25 09:39:41.743","Página web de RENCAP ","2011-02-24 21:55:15.033","06"
32,"2011-01-15 03:00:00","Chubut","Trelew","TRELEW","Por aspecto físico","El personal de control no esta identificado","","Personal de empresas de seguridad","","","Derivado","2011-02-28 10:15:56.633","Página web de RENCAP ","2011-02-26 20:55:19.317","26"
33,"2010-12-25 06:00:00","Santiago del Estero","Sachayoj","SACHAYOJ","","","En el interior del local","Policias","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2011-02-28 17:24:50.950","Call Center","2011-02-28 16:50:15.520","86"
34,"2010-12-25 06:00:00","Santiago del Estero","Sachayoj","SACHAYOJ","","","En el interior del local","Policias","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2011-02-28 17:25:19.140","Call Center","2011-02-28 16:53:42.530","86"
35,"2010-09-18 03:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria - Otros","El personal de control no esta identificado","En el interior del local","Controladores","","","Derivado","2011-03-02 10:40:14.183","Call Center","2011-03-01 16:07:51.180","02"
36,"2010-10-08 03:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por orientacion sexual - Otros","","En el interior del local","Controladores","Agresión verbal - Agresión física","","Derivado","2011-03-02 14:48:28.090","Call Center","2011-03-02 10:04:10.913","02"
37,"2011-03-06 02:30:00","Buenos Aires","Almirante Brown","Glew","Otros","","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2011-03-09 16:20:54.663","Call Center","2011-03-09 14:37:24.137","06"
38,"2011-03-08 03:30:00","Buenos Aires","General Pueyrredón","Mar del Plata","","","En el interior del local","Personal de empresas de seguridad","Agresión física","Se solicitó asistencia policial","Derivado","2011-03-10 10:16:37.180","Call Center","2011-03-10 09:23:41.327","06"
39,"2011-02-12 06:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Personas vinculadas a la empresa","Agresión sexual","","Derivado","2011-03-15 10:45:39.467","Call Center","2011-03-10 19:20:00.417","02"
40,"2011-03-05 02:00:00","Buenos Aires","General Pueyrredón","Mar del Plata","Por aspecto físico - Otros","","","","","","Desestimado","2014-12-03 14:13:59.683","Call Center","2011-03-10 20:51:38.967","06"
41,"2010-12-31 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Por aspecto físico","","En el acceso local","Controladores - Personas vinculadas a la empresa","","","Derivado","2011-03-11 16:49:20.547","Call Center","2011-03-11 16:44:54.180","02"
42,"2011-03-12 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Devoto","","Por indumentaria","","","","","","Derivado","2011-03-14 11:05:17.987","Call Center","2011-03-13 04:50:27.913","02"
43,"2011-03-13 04:30:00","Buenos Aires","Villa Gesell","Villa Gesell","Por aspecto físico - Otros","","","","","","Derivado","2011-03-15 10:58:15.747","Call Center","2011-03-13 04:54:06.793","06"
44,"2011-02-16 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Por aspecto físico - Otros","","En el acceso local","Controladores","","","Derivado","2011-03-15 11:06:12.617","Call Center","2011-03-14 16:28:07.023","02"
45,"2011-02-06 02:30:00","Buenos Aires","General Pueyrredón","Mar del Plata","Otros","","En el acceso local","Controladores","","","Derivado","2011-03-16 11:57:28.457","Call Center","2011-03-16 10:54:36.490","06"
46,"2011-03-12 12:30:00","Buenos Aires","Vicente López","Olivos","","","En las proximidades del local","Controladores","Agresión física","","Derivado","2011-03-16 12:17:18.970","Call Center","2011-03-16 11:31:37.630","06"
47,"2011-03-06 05:30:00","Buenos Aires","Lomas de Zamora","Banfield","","","En el interior del local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2011-03-21 10:14:13.913","Call Center","2011-03-18 17:30:25.280","06"
48,"2011-03-18 18:40:00","Buenos Aires","Castelli","Castelli","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión física","","Derivado","2011-03-21 14:43:20.407","Call Center","2011-03-18 18:41:03.977","06"
49,"2011-03-20 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2011-03-21 12:08:14.347","Call Center","2011-03-20 16:30:39.117","02"
50,"2011-03-20 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","","","","","Derivado","2011-03-21 12:01:45.757","Página web de RENCAP ","2011-03-20 22:38:08.647","02"
51,"2011-03-20 03:20:00","Ciudad Autónoma de Buenos Aires","Barrio Retiro","","Otros","","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión física","Se hizo denuncia policial","Derivado","2011-03-21 14:49:34.723","Call Center","2011-03-20 23:17:23.503","02"
52,"2011-03-20 03:30:00","Ciudad Autónoma de Buenos Aires","Barrio Retiro","","","","En el interior del local - En las proximidades del local","Controladores","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2011-03-21 14:51:58.710","Call Center","2011-03-21 00:37:30.457","02"
53,"2011-03-19 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria - Otros","","","","","","Derivado","2011-03-21 12:05:15.697","Página web de RENCAP ","2011-03-21 09:53:47.673","02"
54,"2011-03-20 02:15:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2011-03-21 12:06:44.477","Página web de RENCAP ","2011-03-21 11:37:22.900","02"
55,"2011-03-19 04:00:00","Mendoza","Luján de Cuyo","LUJAN DE CUYO","","","En el interior del local","Controladores","Agresión verbal - Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2011-03-21 16:10:40.037","Call Center","2011-03-21 15:56:43.293","50"
56,"2011-03-19 23:00:00","Buenos Aires","Hurlingham","Hurlingham","Otros","","","","Agresión verbal - Agresión física","","Derivado","2011-03-23 13:33:23.983","Call Center","2011-03-22 09:07:24.280","06"
57,"2011-03-24 01:00:00","Buenos Aires","Morón","Haedo","Por aspecto físico","","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2011-03-28 12:32:27.493","Call Center","2011-03-24 14:25:41.130","06"
58,"2011-03-26 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Caballito","","Por aspecto físico","","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Derivado","2011-03-28 14:26:36.570","Call Center","2011-03-26 10:34:19.210","02"
59,"2011-03-23 23:03:00","Buenos Aires","La Matanza","Ramos Mejía","Otros","","En el interior del local","Personal de empresas de seguridad","","","Derivado","2011-03-28 14:29:05.157","Call Center","2011-03-26 14:15:03.083","06"
60,"2011-03-25 00:00:00","Ciudad Autónoma de Buenos Aires","- Gobierno Provincial -","","Otros","","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2011-03-28 14:30:47.960","Call Center","2011-03-26 15:18:38.280","02"
61,"2011-03-27 05:00:00","Buenos Aires","Tres de Febrero","","","","En el interior del local","Personal de empresas de seguridad","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2011-03-28 14:33:16.487","Call Center","2011-03-27 22:33:01.467","06"
62,"2011-03-25 23:00:00","Entre Ríos","Concordia","CONCORDIA","Otros","","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa - Policias","","Se hizo denuncia policial","Derivado","2011-03-29 16:21:21.227","Call Center","2011-03-28 18:34:46.090","30"
63,"2011-03-28 10:15:00","Buenos Aires","San Fernando","Virreyes","Otros","","En las proximidades del local","","Agresión verbal","","Desestimado","2011-03-30 11:50:05.503","Call Center","2011-03-28 19:00:31.393","06"
64,"2011-03-26 23:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2011-03-30 11:51:33.487","Call Center","2011-03-29 17:36:55.480","02"
65,"2011-03-27 04:00:00","Buenos Aires","Villa Gesell","Villa Gesell","","","En el interior del local - En el acceso local","Controladores","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2011-03-31 16:42:26.053","Call Center","2011-03-31 16:36:18.273","06"
66,"2010-11-22 02:00:00","Santa Fé","Rosario","Rosario","Por aspecto físico","","En el interior del local","Controladores","","","Derivado","2011-04-01 16:05:12.617","Call Center","2011-04-01 11:09:33.567","82"
67,"2011-04-01 01:10:00","Santa Fé","Rosario","Rosario","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2011-04-01 16:06:53.763","Call Center","2011-04-01 11:12:16.913","82"
68,"2011-04-03 05:30:00","Buenos Aires","La Plata","La Plata","","","En el acceso local","","Agresión física","","Derivado","2011-04-04 16:57:11.137","Página web de RENCAP ","2011-04-04 16:16:11.397","06"
69,"2011-04-02 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Otros","","","","","","Derivado","2011-04-05 14:27:07.367","Página web de RENCAP ","2011-04-05 12:57:52.820","02"
70,"2011-04-02 05:30:00","Buenos Aires","Tigre","Don Torcuato","","","En el interior del local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2011-04-05 14:27:43.123","Call Center","2011-04-05 13:53:04.153","06"
71,"2011-04-02 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por indumentaria","El personal de control no esta identificado","En el acceso local","Personas vinculadas a la empresa","Agresión física","","Derivado","2011-04-07 15:08:21.230","Call Center","2011-04-06 16:30:45.697","02"
72,"2011-03-27 04:00:00","Buenos Aires","Villa Gesell","Villa Gesell","","","En el interior del local - En el acceso local","Controladores","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2011-04-08 14:28:44.833","Call Center","2011-04-08 12:28:32.627","06"
73,"2011-04-09 00:30:00","Buenos Aires","General San Martín","Gral. San Martín","Por aspecto físico","","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2011-04-11 11:22:57.493","Call Center","2011-04-09 16:16:46.237","06"
74,"2011-04-10 03:15:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores","","","Desestimado","2011-04-11 11:19:21.953","Call Center","2011-04-10 17:09:26.770","02"
75,"2011-04-09 01:00:00","Buenos Aires","Lomas de Zamora","Lomas de Zamora","Por indumentaria","","En el acceso local","Controladores","","","Derivado","2011-04-11 11:21:00.123","Call Center","2011-04-11 10:51:53.397","06"
76,"2011-04-10 01:30:00","Santa Fé","Rosario","Rosario","Por orientacion sexual","","En el acceso local","Controladores","Agresión verbal","","Derivado","2011-04-11 14:56:14.307","Call Center","2011-04-11 14:34:28.480","82"
77,"2011-04-11 04:11:00","Buenos Aires","Esteban Echeverría","Monte Grande","","No exhibe nomina de personal de control habilitado","En el acceso local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2011-04-12 12:17:24.277","Call Center","2011-04-12 10:42:35.157","06"
78,"2011-04-16 04:20:00","Buenos Aires","La Plata","La Plata","Por indumentaria","","En el acceso local","Controladores","","","Derivado","2011-04-18 10:06:02.817","Call Center","2011-04-16 05:15:32.680","06"
79,"2011-04-16 02:00:00","Buenos Aires","General San Martín","Gral. San Martín","Por aspecto físico - Por indumentaria","","","","","","Derivado","2011-04-18 12:15:27.743","Call Center","2011-04-18 12:02:33.293","06"
80,"2011-04-16 22:00:00","Buenos Aires","Hurlingham","","Por aspecto físico","","En el acceso local - En las proximidades del local","Controladores","Agresión verbal","","Desestimado","2014-12-03 14:34:33.933","Call Center","2011-04-18 20:02:11.247","06"
81,"2011-04-16 22:00:00","Buenos Aires","Hurlingham","Hurlingham","Por aspecto físico","","En el acceso local","","Agresión verbal","","Derivado","2011-04-20 13:14:53.110","Call Center","2011-04-19 19:20:38.490","06"
82,"2011-04-08 00:45:00","Santa Fé","Rafaela","Rafaela","Por aspecto físico","","","","","","Derivado","2011-04-25 09:35:57.407","Página web de RENCAP ","2011-04-21 11:54:40.713","82"
83,"2011-04-17 01:00:00","Buenos Aires","San Isidro","Martinez","Otros","","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Derivado","2011-04-25 14:52:09.817","Call Center","2011-04-22 18:43:27.693","06"
84,"2011-04-18 06:25:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local - En el acceso local","Controladores","Agresión física","","Derivado","2011-04-28 10:12:50.577","Call Center","2011-04-22 19:24:44.000","02"
85,"2011-04-23 03:00:00","Buenos Aires","La Matanza","Ramos Mejía","","El personal de control no esta identificado","En el interior del local","Controladores","Agresión verbal - Agresión física","","Derivado","2011-04-25 14:57:25.713","Call Center","2011-04-23 12:27:09.787","06"
86,"2011-04-21 06:00:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Devoto","","Por aspecto físico","","En el acceso local","Controladores","Agresión verbal - Agresión física","","Derivado","2011-04-28 10:14:12.477","Call Center","2011-04-23 14:50:12.433","02"
87,"2001-04-23 05:00:00","Ciudad Autónoma de Buenos Aires","Barrio Retiro","","","Hay mas personas que las permitidas por la habilitación","En el interior del local","Controladores","Agresión verbal - Agresión física","","Derivado","2011-04-28 10:11:59.987","Call Center","2011-04-23 22:50:47.943","02"
88,"2011-04-24 03:50:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Otros","","En el interior del local","Controladores","","","Desestimado","2011-05-17 12:58:01.507","Call Center","2011-04-24 04:34:41.830","02"
89,"2011-04-24 03:50:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Otros","","En el interior del local","Controladores","","","Desestimado","2011-04-25 15:01:55.947","Call Center","2011-04-24 05:03:00.413","02"
90,"2011-04-23 06:00:00","Buenos Aires","General Pueyrredón","Mar del Plata","","","En el acceso local","Controladores","Agresión física","","Derivado","2011-04-26 13:26:25.643","Call Center","2011-04-26 12:07:38.720","06"
91,"2011-04-29 02:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Retiro","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","Agresión verbal","","Derivado","2011-05-02 13:56:09.320","Call Center","2011-04-30 11:40:26.247","02"
92,"2011-05-01 01:40:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Devoto","","Otros","No exhibe condiciones de adminsión y permanencia - Presencia de menores","","","Agresión verbal","","Derivado","2011-05-02 13:57:21.390","Página web de RENCAP ","2011-05-01 02:40:06.307","02"
93,"2011-03-23 01:00:00","Buenos Aires","Morón","Haedo","Otros","El personal de control no esta identificado - Presencia de menores","","","","","Derivado","2011-05-02 13:54:43.207","Página web de RENCAP ","2011-05-01 14:03:44.007","06"
94,"2011-05-01 04:00:00","Santiago del Estero","Santiago del Estero","SANTIAGO DEL ESTERO","Por aspecto físico","","En el interior del local - En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2011-05-02 13:58:59.573","Call Center","2011-05-02 12:17:02.093","86"
95,"2011-03-27 05:30:00","Buenos Aires","General San Martín","Villa Gral. San Martín","","","En el interior del local","Controladores","Agresión física","","Derivado","2011-05-04 12:15:21.200","Call Center","2011-05-03 14:20:57.257","06"
96,"2011-04-30 03:20:00","Buenos Aires","Tigre","Tigre","","","En el interior del local","Personal de empresas de seguridad","Agresión verbal - Agresión física","","Derivado","2011-05-04 12:16:31.040","Página web de RENCAP ","2011-05-04 00:46:02.197","06"
97,"2011-05-08 00:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2011-05-09 13:09:22.727","Call Center","2011-05-08 15:12:53.820","02"
98,"2011-05-01 03:00:00","Buenos Aires","Morón","Haedo","","","En el interior del local","Controladores","","","Derivado","2011-05-10 09:22:18.797","Call Center","2011-05-09 15:57:15.433","06"
99,"2011-05-07 00:30:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Por aspecto físico","","En el acceso local","Controladores - Personal de empresas de seguridad","","","Derivado","2011-05-10 14:58:15.670","Call Center","2011-05-09 20:11:49.113","02"
100,"2011-05-07 22:00:00","Buenos Aires","General San Martín","Gral. San Martín","Por aspecto físico - Por indumentaria","","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Derivado","2011-05-11 10:15:17.400","Call Center","2011-05-10 19:16:08.360","06"
101,"2011-05-07 20:00:00","Ciudad Autónoma de Buenos Aires","Barrio Caballito","","Otros","El personal de control no esta identificado","En el interior del local - En el acceso local","Controladores","","","Derivado","2011-05-12 09:44:02.653","Call Center","2011-05-10 19:45:29.070","02"
102,"2011-02-12 22:00:00","Buenos Aires","Saavedra","Saavedra","Por aspecto físico - Por indumentaria","","En el acceso local - En las proximidades del local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2011-05-12 09:45:42.600","Call Center","2011-05-10 19:46:30.877","06"
103,"2011-05-09 06:00:00","Buenos Aires","Lanús","Lanús","","","En las proximidades del local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2011-05-11 12:58:58.767","Call Center","2011-05-11 10:37:00.823","06"
104,"2011-05-07 04:45:00","Buenos Aires","Tigre","Tigre","Otros","","En el interior del local - En el acceso local - En las proximidades del local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2011-05-16 09:26:24.687","Página web de RENCAP ","2011-05-13 15:07:01.933","06"
105,"2011-05-14 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","Agresión verbal","","Derivado","2011-05-17 12:15:21.800","Call Center","2011-05-16 20:28:29.907","02"
106,"2011-05-15 04:00:00","Buenos Aires","San Isidro","Martinez","","","En el acceso local - En las proximidades del local","Controladores","Agresión verbal - Agresión física","","Derivado","2011-05-17 15:43:45.800","Call Center","2011-05-17 15:34:43.823","06"
107,"2011-01-05 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores - Personas vinculadas a la empresa","","","Derivado","2011-05-20 11:05:27.513","Página web de RENCAP ","2011-05-19 00:47:31.910","02"
108,"2011-05-13 03:45:00","Ciudad Autónoma de Buenos Aires","Barrio San Nicolás","","","","En el interior del local","Controladores","","","Derivado","2011-05-27 12:14:18.443","Call Center","2011-05-27 11:00:54.660","02"
109,"2011-05-21 00:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2011-05-27 12:16:32.583","Call Center","2011-05-27 11:40:38.717","02"
110,"2011-05-25 02:30:00","Buenos Aires","Tigre","Tigre","","","En el acceso local","Controladores","Agresión física","","Derivado","2011-05-30 09:36:51.687","Call Center","2011-05-27 15:56:00.800","06"
111,"2011-05-14 00:30:00","Buenos Aires","San Miguel","San Miguel","","","En el interior del local","Personas vinculadas a la empresa","","","Derivado","2011-05-30 11:24:31.373","Call Center","2011-05-30 10:43:20.443","06"
112,"2011-05-29 01:00:00","Buenos Aires","Vicente López","Olivos","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","Agresión verbal","","Derivado","2011-05-30 11:26:17.933","Call Center","2011-05-30 10:45:12.243","06"
113,"2011-05-30 12:45:00","Buenos Aires","Almirante Brown","Almte. Brown (Adrogué)","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2011-05-31 12:25:16.510","Call Center","2011-05-31 11:31:36.360","06"
114,"2011-05-28 06:00:00","Ciudad Autónoma de Buenos Aires","Barrio San Nicolás","","","","En el interior del local","Controladores","Agresión física","","Derivado","2011-06-02 09:46:27.690","Call Center","2011-06-01 14:40:22.637","02"
115,"2011-04-06 03:45:00","Chubut","Comodoro Rivadavia","COMODORO RIVADAVIA","","","En el interior del local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2011-06-06 09:24:17.060","Página web de RENCAP ","2011-06-04 16:55:31.267","26"
116,"2011-06-04 05:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Capital Federal","","El personal de control no esta identificado","En el interior del local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2011-06-06 12:08:09.050","Call Center","2011-06-05 16:33:24.047","02"
117,"2011-03-27 05:30:00","Buenos Aires","Marcos Paz","Marcos Paz","","","En el interior del local","Personas vinculadas a la empresa","Agresión física","","Derivado","2011-06-08 14:01:38.407","Call Center","2011-06-07 16:34:36.277","06"
118,"2011-06-03 21:52:00","Buenos Aires","La Matanza","Tapiales","","El personal de control no esta identificado","En el acceso local","Controladores","Agresión física","","Derivado","2011-06-08 14:08:26.070","Call Center","2011-06-07 16:36:37.443","06"
119,"2011-05-28 05:00:00","Ciudad Autónoma de Buenos Aires","Barrio San Cristóbal","","","","En el interior del local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2011-06-08 14:06:07.343","Call Center","2011-06-08 13:35:47.133","02"
120,"2011-06-10 01:00:00","Buenos Aires","General San Martín","San Andrés","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - Presencia de menores","En el acceso local","Controladores","Agresión verbal - Agresión física","","Desestimado","2011-06-10 11:40:02.997","Call Center","2011-06-10 10:26:15.537","06"
121,"2011-06-12 02:00:00","Córdoba","Río Segundo","RIO SEGUNDO","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores - Policias","","Se solicitó asistencia policial","Derivado","2011-06-13 13:24:29.777","Call Center","2011-06-13 12:58:46.430","14"
